abandon abandons abandoning abandoned
forswear forswears forswearing forswore
interweave interweaves interweaving interwove
withdraw withdraws withdrawing withdrew
withhold withholds withholding withheld
withstand withstands withstanding withstood
hurt hurts hurting hurt
begin begins beginning began
put puts putting put
bet bets betting bet
bid bids bidding bid
cast casts casting cast
cost costs costing cost
eat eats eating ate
fall falls falling fell
find finds finding found
bite bites bitting bit
blow blows blowing blew
come comes coming came
do does doing did
draw draws drawing drew
feed feeds feeding fed
fight fights fighting fought
fly flies flying flew
get gets getting got
give gives giving gave
go goes going went
grow grows growing grew
have has having had
hide hides hiding hid
hit hits hitting hit
hold holds holding held
know knows knowing knew
lend lends lending lent
leave leaves leaving left
lose loses losing lost
pay pays paying paid
read reads reading read
ride rides riding rode
ring rings ringing rang
run runs running ran
say says saying said
see sees seeing saw
sell sells selling sold
shake shakes shaking shook
sing sings singing sang
sit sits sitting sat
sleep sleeps sleeping slept
speak speaks speaking spoke
spend spends spending spent
stand stands standing stood
take takes taking took
tell tells telling told
think thinks thinking thought
throw throws throwing threw
understand understands understanding understood
wear wears wearing wore
win wins winning won
write writes writing wrote
inlay inlays inlaying inlaid
grave graves graving graved
gainsay gainsays gainsaying gainsaid
freeze freezes freezing frozen
forsake forsakes forsaking forsook
forego foregoes foregoing forewent
foredo foredoes foredoing foredid
cling clings clinging clung
cleave cleaves cleaving clave
chide chides chiding chid
bestride bestrides bestriding bestrode
bereave bereaves bereaving bereft
misgive misgives misgiving misgave
misdeal misdeals misdealing misdealt
show shows showing showed
underlie underlies underlying underlay
tread treads treading trod
stride strides striding strode
measure measures measuring measured
flame flames flaming flamed
fix fixes fixing fixed
firm firms firming firmed
fidget fidgets fidgeting fidgeted
fictionalize fictionalizes fictionalizing fictionalized
ferry ferries ferrying ferried
fertilize fertilizes fertilizing fertilized
flake flakes flaking flaked
flail flails flailing flailed
finalize finalizes finalizing finalized
figure figures figuring figured
filch filches filching filched
fetter fetters fettering fettered
festoon festoons festooning festooned
fester festers festering festered
ferment ferments fermenting fermented
feint feints feinting feinted
feign feigns feigning feigned
federate federates federating federated
faze fazes fazing fazed
fatten fattens fattening fattened
expiate expiates expiating expiated
exonerate exonerates exonerating exonerated
exit exits exiting exited
exist exists existing existed
exile exiles exiling exiled
exhort exhorts exhorting exhorted
exhilarate exhilarates exhilarating exhilarated
exculpate exculpates exculpating exculpated
exasperate exasperates exasperating exasperated
exacerbate exacerbates exacerbating exacerbated
